confuser_pkg,target_pkg,signals
s3x,six,Character Replaced: 3
sis,six,Character Replaced: s;Close Letters on QWERTY Keyboard: x => s
sbx,six,Character Replaced: b
aix,six,Character Replaced: a;Close Letters on QWERTY Keyboard: s => a
sux,six,Character Replaced: u;Swap Vowel: i => u;Close Letters on QWERTY Keyboard: i => u
lix,six,Bit Flips: Byte 0, Bit 4;Bit Flips: Byte 0, Bit 5;Character Replaced: l
sih,six,Character Replaced: h
shx,six,Character Replaced: h
sio,six,Character Replaced: o
sil,six,Character Replaced: l
scix,six,Character Added: c
sax,six,Character Replaced: a;Swap Vowel: i => a
sigx,six,Character Added: g
sgx,six,Character Replaced: g
esix,six,Character Added: e;Double hit character: e
spix,six,Character Added: p
scx,six,Character Replaced: c
vix,six,Character Replaced: v
spx,six,Character Replaced: p
hix,six,Character Replaced: h
stx,six,Character Replaced: t
simx,six,Character Added: m
isx,six,Letters Swapped
sx,six,Character Removed: 1 ('i')
sif,six,Character Replaced: f
uix,six,Character Replaced: u
mix,six,Character Replaced: m
fix,six,Character Replaced: f
sii,six,Character Replaced: i
snx,six,Character Replaced: n
zumpy,numpy,Character Replaced: z
numpi,numpy,Character Replaced: i;Swap Vowel: y => i
wumpy,numpy,Character Replaced: w
xnumpy,numpy,Character Added: x;Prefix Added: x;Prefix Added: X
numpy6,numpy,Character Added: 6;Close Letters on QWERTY Keyboard, added to end: numpy => 6;Suffix Added: 6
nsmpy,numpy,Character Replaced: s
numpypy,numpy,Suffix Added: py
numqy,numpy,Ascii Homoglpyh: p => q;Character Replaced: q
umpy,numpy,Character Removed: 0 ('n')
bumpy,numpy,Character Replaced: b;Close Letters on QWERTY Keyboard: n => b
ncmpy,numpy,Character Replaced: c
numpyx,numpy,Character Added: x;Suffix Added: x
nempy,numpy,Character Replaced: e;Swap Vowel: u => e
rnumpy,numpy,Character Added: r
nompy,numpy,Character Replaced: o;Swap Vowel: u => o
rumpy,numpy,Ascii Homoglpyh: n => r;Character Replaced: r
dumpy,numpy,Character Replaced: d
snumpy,numpy,Character Added: s
humpy,numpy,Character Replaced: h;Close Letters on QWERTY Keyboard: n => h
numpsy,numpy,Character Added: s
gnumpy,numpy,Character Added: g;Double hit character: g
numjpy,numpy,Character Added: j
numfy,numpy,Character Replaced: f
numpy4,numpy,Character Added: 4;Suffix Added: 4
nump5y,numpy,Character Added: 5;Double hit character: 5
numppy,numpy,Character Added: p;Character Added: p;Containing Character Added: p;Containing Character Added: p;Letter Duplicated: p
nmpy,numpy,Character Removed: 1 ('u')
pnumpy,numpy,Character Added: p;Containing Character Added: p
nlmpy,numpy,Character Replaced: l
unumpy,numpy,Character Added: u;Containing Character Added: u
nuvpy,numpy,Character Replaced: v
nump,numpy,Character Removed: 4 ('y')
jumpy,numpy,Character Replaced: j;Close Letters on QWERTY Keyboard: n => j
vnumpy,numpy,Character Added: v
pumpy,numpy,Character Replaced: p
gumpy,numpy,Character Replaced: g;Close Letters on QWERTY Keyboard: n => g
numpy3,numpy,Character Added: 3;Suffix Added: 3
numspy,numpy,Character Added: s
numsy,numpy,Character Replaced: s
numphy,numpy,Character Added: h;Double hit character: h
nupy,numpy,Character Removed: 2 ('m')
sumpy,numpy,Character Replaced: s
nutpy,numpy,Character Replaced: t
numpyk,numpy,Character Added: k
nuumpy,numpy,Character Added: u;Character Added: u;Containing Character Added: u;Containing Character Added: u;Letter Duplicated: u
jnumpy,numpy,Character Added: j;Double hit character: j
heel,wheel,Character Removed: 0 ('w')
wheelz,wheel,Character Added: z
wheelr,wheel,Character Added: r
wheeel,wheel,Character Added: e;Character Added: e;Character Added: e;Containing Character Added: e;Containing Character Added: e;Containing Character Added: e;Letter Duplicated: e;Letter Duplicated: e
fwheel,wheel,Character Added: f
swheel,wheel,Character Added: s;Double hit character: s
msspec,fsspec,Character Replaced: m
fspec,fsspec,Character Removed: 1 ('s');Character Removed: 2 ('s')
rfsspec,fsspec,Character Added: r;Double hit character: r
k3fs,s3fs,Character Replaced: k
s3f,s3fs,Character Removed: 3 ('s');Suffix Removed: s
sfs,s3fs,Character Removed: 1 ('3')
s3os,s3fs,Character Replaced: o
sdfs,s3fs,Character Replaced: d
s3ts,s3fs,Ascii Homoglpyh: f => t;Character Replaced: t;Close Letters on QWERTY Keyboard: f => t
spfs,s3fs,Character Replaced: p
pit,pip,Character Replaced: t
pcp,pip,Character Replaced: c
yip,pip,Character Replaced: y
pipa,pip,Character Added: a
zip,pip,Character Replaced: z
pii,pip,Character Replaced: i
plip,pip,Character Added: l;Double hit character: l
2ip,pip,Character Replaced: 2
pipi,pip,Character Added: i;Containing Character Added: i
pipd,pip,Character Added: d
tip,pip,Character Replaced: t
piq,pip,Ascii Homoglpyh: p => q;Character Replaced: q
php,pip,Character Replaced: h
pipo,pip,Character Added: o;Close Letters on QWERTY Keyboard, added to end: pip => o
pkp,pip,Character Replaced: k;Close Letters on QWERTY Keyboard: i => k
eip,pip,Character Replaced: e
pyp,pip,Character Replaced: y;Swap Vowel: i => y
pzp,pip,Character Replaced: z
pap,pip,Character Replaced: a;Swap Vowel: i => a
pip6,pip,Character Added: 6;Suffix Added: 6
pi3,pip,Character Replaced: 3
gpip,pip,Character Added: g
pyip,pip,Character Added: y
ppp,pip,Letter Duplicated and Replaced: p;Character Replaced: p
vpip,pip,Character Added: v
pipm,pip,Character Added: m
jip,pip,Character Replaced: j
jpip,pip,Character Added: j
pzip,pip,Character Added: z
pipf,pip,Character Added: f
ppi,pip,Letters Swapped
gip,pip,Ascii Homoglpyh: p => g;Character Replaced: g
fip,pip,Character Replaced: f
pipr,pip,Character Added: r
cpip,pip,Character Added: c
pim,pip,Character Replaced: m
piy,pip,Character Replaced: y
pipq,pip,Character Added: q
pijp,pip,Character Added: j
pbp,pip,Character Replaced: b
pup,pip,Character Replaced: u;Swap Vowel: i => u;Close Letters on QWERTY Keyboard: i => u
rip,pip,Character Replaced: r
prp,pip,Character Replaced: r
piep,pip,Character Added: e
pfp,pip,Character Replaced: f
pwp,pip,Character Replaced: w
pinp,pip,Character Added: n
pipl,pip,Character Added: l;Close Letters on QWERTY Keyboard, added to end: pip => l
lpip,pip,Character Added: l;Double hit character: l
pis,pip,Character Replaced: s
pvp,pip,Character Replaced: v
pig,pip,Ascii Homoglpyh: p => g;Character Replaced: g
pia,pip,Character Replaced: a
lip,pip,Character Replaced: l;Close Letters on QWERTY Keyboard: p => l
spip,pip,Character Added: s
mpip,pip,Character Added: m
pir,pip,Character Replaced: r
rpip,pip,Character Added: r
pipw,pip,Character Added: w
pib,pip,Ascii Homoglpyh: p => b;Character Replaced: b
pipp,pip,Character Added: p;Character Added: p;Containing Character Added: p;Containing Character Added: p;Letter Duplicated: p;Letter Duplicated and Replaced
pippy,pip,Suffix Added: py
pqp,pip,Character Replaced: q
pif,pip,Character Replaced: f
p2p,pip,Character Replaced: 2
pih,pip,Character Replaced: h
pimp,pip,Character Added: m
pp,pip,Character Removed: 1 ('i')
pjp,pip,Ascii Homoglpyh: i => j;Character Replaced: j;Close Letters on QWERTY Keyboard: i => j
pio,pip,Character Replaced: o;Close Letters on QWERTY Keyboard: p => o
pi4,pip,Character Replaced: 4
dip,pip,Ascii Homoglpyh: p => d;Character Replaced: d
pnp,pip,Character Replaced: n
pxp,pip,Character Replaced: x
pop,pip,Character Replaced: o;Swap Vowel: i => o;Close Letters on QWERTY Keyboard: i => o
kip,pip,Character Replaced: k
piv,pip,Character Replaced: v
apip,pip,Character Added: a
psp,pip,Character Replaced: s
pipz,pip,Character Added: z
cip,pip,Character Replaced: c
pin,pip,Character Replaced: n
pdip,pip,Character Added: d
pdp,pip,Character Replaced: d
ipp,pip,Letters Swapped
vip,pip,Character Replaced: v
cryptographys,cryptography,Character Added: s;Suffix Added: s
cryptogaphy,cryptography,Character Removed: 7 ('r')
cryptograpy,cryptography,Character Removed: 10 ('h')
crytography,cryptography,Character Removed: 3 ('p')
cryptograohy,cryptography,Character Replaced: o;Close Letters on QWERTY Keyboard: p => o
pedantic,pydantic,Character Replaced: e;Swap Vowel: y => e
pidantic,pydantic,Character Replaced: i;Swap Vowel: y => i
dydantic,pydantic,Ascii Homoglpyh: p => d;Character Replaced: d
pydjantic,pydantic,Character Added: j
pydentic,pydantic,Ascii Homoglpyh: a => e;Character Replaced: e;Swap Vowel: a => e
cydantic,pydantic,Character Replaced: c
pydbantic,pydantic,Character Added: b
pydastic,pydantic,Character Replaced: s
attrd,attrs,Character Replaced: d;Close Letters on QWERTY Keyboard: s => d
attr.s,attrs,Character Added: .
nattrs,attrs,Character Added: n
aptrs,attrs,Character Replaced: p
attrz,attrs,Character Replaced: z;Close Letters on QWERTY Keyboard: s => z
xattrs,attrs,Character Added: x;Prefix Added: x;Prefix Added: X;Double hit character: x
atts,attrs,Character Removed: 3 ('r')
uttrs,attrs,Character Replaced: u;Swap Vowel: a => u
attres,attrs,Character Added: e;Double hit character: e
mattrs,attrs,Character Added: m
asttrs,attrs,Character Added: s;Containing Character Added: s
attis,attrs,Character Replaced: i
caffi,cffi,Character Added: a
cffm,cffi,Character Replaced: m
cff,cffi,Character Removed: 3 ('i')
cefi,cffi,Character Replaced: e;Close Letters on QWERTY Keyboard: f => e
cfft,cffi,Character Replaced: t
cffii,cffi,Character Added: i;Character Added: i;Containing Character Added: i;Containing Character Added: i;Letter Duplicated: i;Letter Duplicated and Replaced
cfai,cffi,Character Replaced: a
cyfi,cffi,Character Replaced: y
cffs,cffi,Character Replaced: s
cofi,cffi,Character Replaced: o
cffy,cffi,Character Replaced: y;Swap Vowel: i => y
pyparser,pycparser,Character Removed: 2 ('c')
pycparserr,pycparser,Character Added: r;Character Added: r;Containing Character Added: r;Containing Character Added: r;Letter Duplicated: r;Letter Duplicated and Replaced
pydparser,pycparser,Character Replaced: d;Close Letters on QWERTY Keyboard: c => d
cycparser,pycparser,Character Replaced: c
pycparsre,pycparser,Letters Swapped
pacparser,pycparser,Character Replaced: a;Swap Vowel: y => a
clict,click,Character Replaced: t
click8,click,Character Added: 8;Suffix Added: 8
clisk,click,Character Replaced: s;Close Letters on QWERTY Keyboard: c => s
cpick,click,Character Replaced: p;Close Letters on QWERTY Keyboard: l => p
clack,click,Character Replaced: a;Swap Vowel: i => a
clik,click,Character Removed: 3 ('c')
clicz,click,Character Replaced: z
dclick,click,Character Added: d;Double hit character: d
clicks,click,Character Added: s;Suffix Added: s
clirk,click,Character Replaced: r
clicky,click,Character Added: y
aclick,click,Character Added: a
clic,click,Character Removed: 4 ('k')
clock,click,Character Replaced: o;Swap Vowel: i => o;Close Letters on QWERTY Keyboard: i => o
nclick,click,Character Added: n
clickd,click,Character Added: d
clickpy,click,Suffix Added: py
clicr,click,Character Replaced: r
pclick,click,Character Added: p
clck,click,Character Removed: 2 ('i')
clico,click,Character Replaced: o;Close Letters on QWERTY Keyboard: k => o
clink,click,Character Replaced: n
crick,click,Character Replaced: r
flick,click,Character Replaced: f;Close Letters on QWERTY Keyboard: c => f
lick,click,Character Removed: 0 ('c')
pandas2,pandas,Character Added: 2;Suffix Added: 2
pandag,pandas,Character Replaced: g
pandan,pandas,Character Replaced: n
upandas,pandas,Character Added: u
mpandas,pandas,Character Added: m
pandaq,pandas,Character Replaced: q;Close Letters on QWERTY Keyboard: s => q
paandas,pandas,Character Added: a;Character Added: a;Containing Character Added: a;Containing Character Added: a;Letter Duplicated: a
pyndas,pandas,Character Replaced: y;Swap Vowel: a => y
pandaa,pandas,Character Replaced: a;Close Letters on QWERTY Keyboard: s => a
pandans,pandas,Character Added: n;Containing Character Added: n
pandos,pandas,Ascii Homoglpyh: a => o;Character Replaced: o;Swap Vowel: a => o
spandas,pandas,Character Added: s;Containing Character Added: s
pandass,pandas,Character Added: s;Character Added: s;Containing Character Added: s;Containing Character Added: s;Letter Duplicated: s;Letter Duplicated and Replaced;Suffix Added: s
panddas,pandas,Character Added: d;Character Added: d;Containing Character Added: d;Containing Character Added: d;Letter Duplicated: d
kpandas,pandas,Character Added: k
pandavs,pandas,Character Added: v
psndas,pandas,Character Replaced: s;Close Letters on QWERTY Keyboard: a => s
panndas,pandas,Character Added: n;Character Added: n;Containing Character Added: n;Containing Character Added: n;Letter Duplicated: n
bandas,pandas,Ascii Homoglpyh: p => b;Character Replaced: b
panvas,pandas,Character Replaced: v;Close Letters on QWERTY Keyboard: d => v
padnas,pandas,Letters Swapped
fpandas,pandas,Character Added: f
ipandas,pandas,Character Added: i
pandus,pandas,Character Replaced: u;Swap Vowel: a => u
panadas,pandas,Character Added: a;Containing Character Added: a
pandaz,pandas,Character Replaced: z;Close Letters on QWERTY Keyboard: s => z
jmespaths,jmespath,Character Added: s;Containing Character Added: s;Suffix Added: s
jmspath,jmespath,Character Removed: 2 ('e')
rjmespath,jmespath,Character Added: r
metadata,importlib-metadata,Separated Section Removed: 0 ('i')
colorsama,colorama,Character Added: s;Double hit character: s
colotama,colorama,Character Replaced: t;Close Letters on QWERTY Keyboard: r => t
cilorama,colorama,Character Replaced: i;Swap Vowel: o => i;Close Letters on QWERTY Keyboard: o => i
colorema,colorama,Ascii Homoglpyh: a => e;Character Replaced: e;Swap Vowel: a => e
zapp,zipp,Character Replaced: a;Swap Vowel: i => a
zipd,zipp,Ascii Homoglpyh: p => d;Character Replaced: d
ipp,zipp,Character Removed: 0 ('z')
zippy,zipp,Character Added: y
mipp,zipp,Character Replaced: m
zipa,zipp,Character Replaced: a
zipr,zipp,Character Replaced: r
zipe,zipp,Character Replaced: e
kipp,zipp,Character Replaced: k
zimp,zipp,Character Replaced: m
zip3,zipp,Character Replaced: 3
zpp,zipp,Character Removed: 1 ('i')
zipg,zipp,Ascii Homoglpyh: p => g;Character Replaced: g
dipp,zipp,Character Replaced: d
zippo,zipp,Character Added: o;Close Letters on QWERTY Keyboard, added to end: zipp => o
zipo,zipp,Character Replaced: o;Close Letters on QWERTY Keyboard: p => o
pipp,zipp,Character Replaced: p
aipp,zipp,Character Replaced: a;Close Letters on QWERTY Keyboard: z => a
zipf,zipp,Character Replaced: f
bipp,zipp,Character Replaced: b
zipy,zipp,Character Replaced: y
zip,zipp,Character Removed: 2 ('p');Character Removed: 3 ('p')
rsw,rsa,Character Replaced: w;Close Letters on QWERTY Keyboard: a => w
psa,rsa,Character Replaced: p
rss,rsa,Character Replaced: s;Close Letters on QWERTY Keyboard: a => s
lsa,rsa,Character Replaced: l
rsv,rsa,Character Replaced: v
ysa,rsa,Character Replaced: y
arsa,rsa,Character Added: a;Containing Character Added: a
ria,rsa,Character Replaced: i
rea,rsa,Character Replaced: e;Close Letters on QWERTY Keyboard: s => e
rsa3,rsa,Character Added: 3;Suffix Added: 3
rsaw,rsa,Character Added: w;Close Letters on QWERTY Keyboard, added to end: rsa => w
rlsa,rsa,Character Added: l
rsq,rsa,Ascii Homoglpyh: a => q;Character Replaced: q;Close Letters on QWERTY Keyboard: a => q
rpa,rsa,Character Replaced: p
drsa,rsa,Character Added: d;Double hit character: d
ra,rsa,Character Removed: 1 ('s')
rma,rsa,Character Replaced: m
raa,rsa,Character Replaced: a;Close Letters on QWERTY Keyboard: s => a
rta,rsa,Character Replaced: t
rsl,rsa,Character Replaced: l
ssa,rsa,Bit Flips: Byte 0, Bit 0;Character Replaced: s
rda,rsa,Character Replaced: d;Close Letters on QWERTY Keyboard: s => d
rwa,rsa,Character Replaced: w;Close Letters on QWERTY Keyboard: s => w
csa,rsa,Character Replaced: c
rsap,rsa,Character Added: p
prsa,rsa,Character Added: p
rs3,rsa,Character Replaced: 3
rka,rsa,Character Replaced: k
qsa,rsa,Bit Flips: Byte 0, Bit 1;Character Replaced: q
rsk,rsa,Character Replaced: k
ras,rsa,Letters Swapped
osa,rsa,Character Replaced: o
rna,rsa,Character Replaced: n
sa,rsa,Character Removed: 0 ('r')
rsm,rsa,Character Replaced: m
rsp,rsa,Character Replaced: p
rse,rsa,Ascii Homoglpyh: a => e;Character Replaced: e;Swap Vowel: a => e
rsg,rsa,Character Replaced: g
rsx,rsa,Character Replaced: x;Close Letters on QWERTY Keyboard: a => x
asa,rsa,Character Replaced: a
rs,rsa,Character Removed: 2 ('a')
msa,rsa,Bit Flips: Byte 0, Bit 4;Bit Flips: Byte 0, Bit 5;Character Replaced: m
rst,rsa,Character Replaced: t
esa,rsa,Character Replaced: e;Close Letters on QWERTY Keyboard: r => e
bsa,rsa,Character Replaced: b
rs4,rsa,Ascii Homoglpyh: a => 4;Character Replaced: 4
dsa,rsa,Character Replaced: d;Close Letters on QWERTY Keyboard: r => d
jsa,rsa,Character Replaced: j
rosa,rsa,Character Added: o
sra,rsa,Letters Swapped
rsa-python,rsa,Suffix Added: -python
rca,rsa,Character Replaced: c;Close Letters on QWERTY Keyboard: s => c
rsapy,rsa,Suffix Added: py
rsr,rsa,Character Replaced: r
ric,rich,Character Removed: 3 ('h')
rioh,rich,Ascii Homoglpyh: c => o;Character Replaced: o
rick,rich,Character Replaced: k
erich,rich,Character Added: e;Double hit character: e
rch,rich,Character Removed: 1 ('i')
rsich,rich,Character Added: s
rico,rich,Character Replaced: o
rith,rich,Character Replaced: t
aich,rich,Character Replaced: a
fich,rich,Character Replaced: f;Close Letters on QWERTY Keyboard: r => f
rice,rich,Character Replaced: e
nrich,rich,Character Added: n
rics,rich,Character Replaced: s
rfch,rich,Character Replaced: f
riah,rich,Character Replaced: a
pytq,pytz,Character Replaced: q
mytz,pytz,Character Replaced: m
pytu,pytz,Character Replaced: u
pytl,pytz,Character Replaced: l
pytg,pytz,Character Replaced: g
pyt,pytz,Character Removed: 3 ('z')
pytp,pytz,Character Replaced: p
pyzz,pytz,Character Replaced: z
pybz,pytz,Character Replaced: b
pyhtz,pytz,Character Added: h;Double hit character: h
pyyz,pytz,Letter Duplicated and Replaced: y;Character Replaced: y;Close Letters on QWERTY Keyboard: t => y
pytzx,pytz,Character Added: x;Close Letters on QWERTY Keyboard, added to end: pytz => x;Suffix Added: x
pytw,pytz,Character Replaced: w
pytf,pytz,Character Replaced: f
pyth,pytz,Character Replaced: h
opytz,pytz,Character Added: o;Double hit character: o
pygz,pytz,Character Replaced: g;Close Letters on QWERTY Keyboard: t => g
pyqz,pytz,Character Replaced: q
pyptz,pytz,Character Added: p;Containing Character Added: p
pyta,pytz,Character Replaced: a;Close Letters on QWERTY Keyboard: z => a
pytb,pytz,Character Replaced: b
pyrtz,pytz,Character Added: r;Double hit character: r
pyti,pytz,Character Replaced: i
pyez,pytz,Character Replaced: e
pyaz,pytz,Character Replaced: a
pytc,pytz,Character Replaced: c
pytm,pytz,Character Replaced: m
pytv,pytz,Character Replaced: v
pytt,pytz,Character Replaced: t
pysz,pytz,Character Replaced: s
pytx,pytz,Character Replaced: x;Close Letters on QWERTY Keyboard: z => x
pytk,pytz,Character Replaced: k
pyzt,pytz,Letters Swapped
pyt6,pytz,Character Replaced: 6
putz,pytz,Character Replaced: u;Swap Vowel: y => u;Close Letters on QWERTY Keyboard: y => u
pytn,pytz,Character Replaced: n
pyto,pytz,Character Replaced: o
pytr,pytz,Character Replaced: r
py7z,pytz,Character Replaced: 7
pitz,pytz,Character Replaced: i;Swap Vowel: y => i
pyz,pytz,Character Removed: 2 ('t')
dinja2,jinja2,Character Replaced: d
ninja2,jinja2,Character Replaced: n;Close Letters on QWERTY Keyboard: j => n
jinjaq,jinja2,Character Replaced: q;Close Letters on QWERTY Keyboard: 2 => q
jinjat,jinja2,Character Replaced: t
jinjax,jinja2,Character Replaced: x
protobufp,protobuf,Character Added: p;Containing Character Added: p
cprotobuf,protobuf,Character Added: c
protobug,protobuf,Character Replaced: g;Close Letters on QWERTY Keyboard: f => g
aw-cli,awscli,Character Replaced: -
adscli,awscli,Character Replaced: d;Close Letters on QWERTY Keyboard: w => d
rawscli,awscli,Character Added: r
awsclii,awscli,Character Added: i;Character Added: i;Containing Character Added: i;Containing Character Added: i;Letter Duplicated: i;Letter Duplicated and Replaced
wscli,awscli,Character Removed: 0 ('a')
apscli,awscli,Character Replaced: p
ipytest,pytest,Character Added: i
pythest,pytest,Character Added: h
pyttest,pytest,Character Added: t;Character Added: t;Containing Character Added: t;Containing Character Added: t;Letter Duplicated: t
pyjest,pytest,Character Replaced: j
py.test,pytest,Character Added: .
ptest,pytest,Character Removed: 1 ('y')
pygest,pytest,Character Replaced: g;Close Letters on QWERTY Keyboard: t => g
pythontest,pytest,String Substituted: py => python
pybest,pytest,Character Replaced: b
pyctest,pytest,Character Added: c
kytest,pytest,Character Replaced: k
spytest,pytest,Character Added: s;Containing Character Added: s
pyvest,pytest,Character Replaced: v
yytest,pytest,Character Replaced: y
lytest,pytest,Character Replaced: l;Close Letters on QWERTY Keyboard: p => l
pytent,pytest,Character Replaced: n
pydest,pytest,Character Replaced: d
pgtest,pytest,Character Replaced: g;Close Letters on QWERTY Keyboard: y => g
ytest,pytest,Character Removed: 0 ('p')
hytest,pytest,Character Replaced: h
pitest,pytest,Character Replaced: i;Swap Vowel: y => i
phytest,pytest,Character Added: h;Double hit character: h
pstest,pytest,Character Replaced: s
pyqtest,pytest,Character Added: q
cpytest,pytest,Character Added: c
p-test,pytest,Character Replaced: -
dpytest,pytest,Character Added: d
pytect,pytest,Character Replaced: c;Close Letters on QWERTY Keyboard: s => c
pyrest,pytest,Character Replaced: r;Close Letters on QWERTY Keyboard: t => r
pypest,pytest,Character Replaced: p
tomcli,tomli,Character Added: c
