confuser_pkg,target_pkg,signals
anal,adal,Character Replaced: n
agal,adal,Character Replaced: g
acal,adal,Character Replaced: c;Close Letters on QWERTY Keyboard: d => c
adab,adal,Character Replaced: b
adao,adal,Character Replaced: o;Close Letters on QWERTY Keyboard: l => o
alal,adal,Character Replaced: l
adap,adal,Character Replaced: p;Close Letters on QWERTY Keyboard: l => p
pdal,adal,Character Replaced: p
hadal,adal,Character Added: h
mdal,adal,Character Replaced: m
adas,adal,Character Replaced: s
adcl,adal,Character Replaced: c
adl,adal,Character Removed: 2 ('a')
dal,adal,Character Removed: 0 ('a')
aval,adal,Character Replaced: v;Close Letters on QWERTY Keyboard: d => v
daal,adal,Letters Swapped
gdal,adal,Character Replaced: g
adala,adal,Character Added: a;Containing Character Added: a
adtl,adal,Character Replaced: t
avdal,adal,Character Added: v;Double hit character: v
adam,adal,Character Replaced: m
anbutils,adbutils,Character Replaced: n
adb-utils,adbutils,Character Added: -
adbutil,adbutils,Character Removed: 7 ('s');Suffix Removed: s
xdbutils,adbutils,Character Replaced: x;Close Letters on QWERTY Keyboard: a => x
abdutils,adbutils,Letters Swapped
idbutils,adbutils,Character Replaced: i;Swap Vowel: a => i
adutils,adbutils,Character Removed: 2 ('b')
abutils,adbutils,Character Removed: 1 ('d')
advutils,adbutils,Character Replaced: v;Close Letters on QWERTY Keyboard: b => v
adsutils,adbutils,Character Replaced: s
addit,addict,Character Removed: 4 ('c')
ddict,addict,Character Removed: 0 ('a')
adict,addict,Character Removed: 1 ('d');Character Removed: 2 ('d')
addicty,addict,Character Added: y;Close Letters on QWERTY Keyboard, added to end: addict => y
atdict,addict,Character Replaced: t
audict,addict,Character Replaced: u
aadict,addict,Letter Duplicated and Replaced: a;Character Replaced: a
dlfs,adlfs,Character Removed: 0 ('a')
adr,adrf,Character Removed: 3 ('f')
adre,adrf,Character Replaced: e;Close Letters on QWERTY Keyboard: f => e
adrv,adrf,Character Replaced: v;Close Letters on QWERTY Keyboard: f => v
adf,adrf,Character Removed: 2 ('r')
arf,adrf,Character Removed: 1 ('d')
adrt,adrf,Ascii Homoglpyh: f => t;Character Replaced: t;Close Letters on QWERTY Keyboard: f => t
sdrf,adrf,Character Replaced: s;Close Letters on QWERTY Keyboard: a => s
gdrf,adrf,Character Replaced: g
ado,ads,Character Replaced: o
adr,ads,Character Replaced: r
as,ads,Character Removed: 1 ('d')
adas,ads,Character Added: a;Containing Character Added: a;Double hit character: a
adbs,ads,Character Added: b
ods,ads,Ascii Homoglpyh: a => o;Character Replaced: o;Swap Vowel: a => o
wads,ads,Character Added: w;Double hit character: w
als,ads,Character Replaced: l
azs,ads,Character Replaced: z
adns,ads,Character Added: n
adb,ads,Character Replaced: b
lds,ads,Character Replaced: l
tads,ads,Character Added: t
aks,ads,Character Replaced: k
adhs,ads,Character Added: h
ans,ads,Character Replaced: n
adis,ads,Character Added: i
adl,ads,Character Replaced: l
adz,ads,Character Replaced: z;Close Letters on QWERTY Keyboard: s => z
vds,ads,Character Replaced: v
fds,ads,Bit Flips: Byte 0, Bit 2;Character Replaced: f
nads,ads,Character Added: n
aids,ads,Character Added: i
adspy,ads,Suffix Added: py
sds,ads,Character Replaced: s;Close Letters on QWERTY Keyboard: a => s
aos,ads,Character Replaced: o
ad3,ads,Character Replaced: 3
a2s,ads,Character Replaced: 2
adf,ads,Character Replaced: f
acs,ads,Character Replaced: c;Close Letters on QWERTY Keyboard: d => c
afs,ads,Character Replaced: f;Close Letters on QWERTY Keyboard: d => f
mds,ads,Character Replaced: m
aws,ads,Character Replaced: w;Close Letters on QWERTY Keyboard: d => w
adsk,ads,Character Added: k
asd,ads,Letters Swapped
rads,ads,Character Added: r
ady,ads,Character Replaced: y
adw,ads,Character Replaced: w;Close Letters on QWERTY Keyboard: s => w
gds,ads,Character Replaced: g
a9s,ads,Character Replaced: 9
das,ads,Letters Swapped
ams,ads,Character Replaced: m
aps,ads,Ascii Homoglpyh: d => p;Character Replaced: p
dds,ads,Character Replaced: d
ade,ads,Character Replaced: e;Close Letters on QWERTY Keyboard: s => e
adso,ads,Character Added: o
adsb,ads,Character Added: b
aas,ads,Letter Duplicated and Replaced: a;Character Replaced: a
iads,ads,Character Added: i
adg,ads,Character Replaced: g
adk,ads,Character Replaced: k
nds,ads,Bit Flips: Byte 0, Bit 3;Character Replaced: n
ahds,ads,Character Added: h
vads,ads,Character Added: v
ad,ads,Character Removed: 2 ('s');Suffix Removed: s
kds,ads,Character Replaced: k
ands,ads,Character Added: n
adc,ads,Character Replaced: c;Close Letters on QWERTY Keyboard: s => c
adys,ads,Character Added: y
abs,ads,Ascii Homoglpyh: d => b;Character Replaced: b
aes,ads,Character Replaced: e;Close Letters on QWERTY Keyboard: d => e
xds,ads,Character Replaced: x;Close Letters on QWERTY Keyboard: a => x
ass,ads,Character Replaced: s;Close Letters on QWERTY Keyboard: d => s
avs,ads,Character Replaced: v;Close Letters on QWERTY Keyboard: d => v
adds,ads,Character Added: d;Character Added: d;Containing Character Added: d;Containing Character Added: d;Letter Duplicated: d;Double hit character: d
adm,ads,Character Replaced: m
ds,ads,Character Removed: 0 ('a')
uds,ads,Character Replaced: u;Swap Vowel: a => u
eds,ads,Ascii Homoglpyh: a => e;Character Replaced: e;Swap Vowel: a => e
mads,ads,Character Added: m
datk,adtk,Letters Swapped
adtl,adtk,Character Replaced: l;Close Letters on QWERTY Keyboard: k => l
artk,adtk,Character Replaced: r;Close Letters on QWERTY Keyboard: d => r
antk,adtk,Character Replaced: n
attk,adtk,Character Replaced: t
aztk,adtk,Character Replaced: z
actk,adtk,Character Replaced: c;Close Letters on QWERTY Keyboard: d => c
aitk,adtk,Character Replaced: i
ndtk,adtk,Bit Flips: Byte 0, Bit 3;Character Replaced: n
aetk,adtk,Character Replaced: e;Close Letters on QWERTY Keyboard: d => e
adsk,adtk,Character Replaced: s
altk,adtk,Character Replaced: l
astk,adtk,Character Replaced: s;Close Letters on QWERTY Keyboard: d => s
dtk,adtk,Character Removed: 0 ('a')
atk,adtk,Character Removed: 1 ('d')
bdtk,adtk,Bit Flips: Byte 0, Bit 1;Character Replaced: b
vadtk,adtk,Character Added: v
fadtk,adtk,Character Added: f
amtk,adtk,Character Replaced: m
aftk,adtk,Character Replaced: f;Close Letters on QWERTY Keyboard: d => f
adk,adtk,Character Removed: 2 ('t')
ldtk,adtk,Character Replaced: l
admk,adtk,Character Replaced: m
vdtk,adtk,Character Replaced: v
aptk,adtk,Ascii Homoglpyh: d => p;Character Replaced: p
avtk,adtk,Character Replaced: v;Close Letters on QWERTY Keyboard: d => v
adventofcode,advent-of-code,Separator Removed -
advent-of-code-py,advent-of-code,Suffix Added: -py
adyeno,Adyen,Character Added: o
renum,aenum,Character Replaced: r
yaenum,aenum,Character Added: y
abnum,aenum,Character Replaced: b
enum,aenum,Character Removed: 0 ('a')
avnum,aenum,Character Replaced: v
xenum,aenum,Character Replaced: x;Close Letters on QWERTY Keyboard: a => x
venum,aenum,Character Replaced: v
eenum,aenum,Ascii Homoglpyh: a => e;Character Replaced: e;Swap Vowel: a => e
anum,aenum,Character Removed: 1 ('e')
aepp,aeppl,Character Removed: 4 ('l')
seppl,aeppl,Character Replaced: s;Close Letters on QWERTY Keyboard: a => s
erich,aerich,Character Removed: 0 ('a')
aerics,aerich,Character Replaced: s
aksara,aesara,Character Replaced: k
agate,agate-dbf,Separated Section Removed: 1 ('g')
dbf,agate-dbf,Separated Section Removed: 0 ('a')
agate,agate-excel,Separated Section Removed: 1 ('g')
excel,agate-excel,Separated Section Removed: 0 ('a')
agate,agate-sql,Separated Section Removed: 1 ('g')
sql,agate-sql,Separated Section Removed: 0 ('a')
apate,agate,Ascii Homoglpyh: g => p;Character Replaced: p
abate,agate,Character Replaced: b;Close Letters on QWERTY Keyboard: g => b
gate,agate,Character Removed: 0 ('a')
agat,agate,Character Removed: 4 ('e')
hgate,agate,Character Replaced: h
agave,agate,Character Replaced: v
tgate,agate,Character Replaced: t
rs,ahocorasick-rs,Separated Section Removed: 0 ('a')
aars,AHRS,Letter Duplicated and Replaced: a;Character Replaced: a
shrs,AHRS,Character Replaced: s;Close Letters on QWERTY Keyboard: a => s
chrs,AHRS,Character Replaced: c
ahds,AHRS,Character Replaced: d;Close Letters on QWERTY Keyboard: r => d
aprs,AHRS,Character Replaced: p
hrs,AHRS,Character Removed: 0 ('a')
ai-edge-litert,ai-edge-litert-nightly,Separated Section Removed: 3 ('e')
tokenizer,ai21-tokenizer,Separated Section Removed: 0 ('a')
ai21,ai21-tokenizer,Separated Section Removed: 1 ('i')
ai2d,ai21,Character Replaced: d
ai71,ai21,Character Replaced: 7
ai2e,ai21,Character Replaced: e
aider,aider-chat,Separated Section Removed: 1 ('i')
chat,aider-chat,Separated Section Removed: 0 ('a')
aikit,AIKIF,Ascii Homoglpyh: f => t;Character Replaced: t;Close Letters on QWERTY Keyboard: f => t
filever,ailever,Bit Flips: Byte 0, Bit 2;Character Replaced: f
aimgui,aim-ui,Character Replaced: g
ui,aim-ui,Separated Section Removed: 0 ('a')
aim,aim-ui,Separated Section Removed: 1 ('i')
bim,aim,Bit Flips: Byte 0, Bit 1;Character Replaced: b
ami,aim,Letters Swapped
aism,aim,Character Added: s
ain,aim,Ascii Homoglpyh: m => n;Character Replaced: n;Close Letters on QWERTY Keyboard: m => n
oim,aim,Ascii Homoglpyh: a => o;Character Replaced: o;Swap Vowel: a => o
aid,aim,Character Replaced: d
aih,aim,Character Replaced: h;Close Letters on QWERTY Keyboard: m => h
laim,aim,Character Added: l
ai3,aim,Character Replaced: 3
lim,aim,Character Replaced: l
aim3,aim,Character Added: 3;Suffix Added: 3
asm,aim,Character Replaced: s
aij,aim,Character Replaced: j;Close Letters on QWERTY Keyboard: m => j
a3m,aim,Character Replaced: 3
avm,aim,Character Replaced: v
agm,aim,Character Replaced: g
faim,aim,Character Added: f
aiu,aim,Character Replaced: u
cim,aim,Character Replaced: c
aiml,aim,Character Added: l
pim,aim,Character Replaced: p
anm,aim,Character Replaced: n
aie,aim,Character Replaced: e
mim,aim,Character Replaced: m
atm,aim,Character Replaced: t
zaim,aim,Character Added: z;Double hit character: z
abm,aim,Character Replaced: b
jim,aim,Character Replaced: j
aixm,aim,Character Added: x
aime,aim,Character Added: e
aia,aim,Character Replaced: a
ait,aim,Character Replaced: t
wim,aim,Character Replaced: w;Close Letters on QWERTY Keyboard: a => w
ai,aim,Character Removed: 2 ('m')
daim,aim,Character Added: d
tim,aim,Character Replaced: t
aiv,aim,Character Replaced: v
aic,aim,Character Replaced: c
dim,aim,Character Replaced: d
axm,aim,Character Replaced: x
axim,aim,Character Added: x
ai6,aim,Character Replaced: 6
afm,aim,Character Replaced: f
aimd,aim,Character Added: d
aima,aim,Character Added: a;Containing Character Added: a
naim,aim,Character Added: n
nim,aim,Bit Flips: Byte 0, Bit 3;Character Replaced: n
air,aim,Character Replaced: r
aimm,aim,Character Added: m;Character Added: m;Containing Character Added: m;Containing Character Added: m;Letter Duplicated: m;Letter Duplicated and Replaced
kim,aim,Character Replaced: k
amm,aim,Character Replaced: m
apm,aim,Character Replaced: p
aam,aim,Letter Duplicated and Replaced: a;Character Replaced: a;Swap Vowel: i => a
eim,aim,Ascii Homoglpyh: a => e;Character Replaced: e;Swap Vowel: a => e
aix,aim,Character Replaced: x
aiwm,aim,Character Added: w
adm,aim,Character Replaced: d
ail,aim,Character Replaced: l
ai8,aim,Character Replaced: 8
anim,aim,Character Added: n
aum,aim,Character Replaced: u;Swap Vowel: i => u;Close Letters on QWERTY Keyboard: i => u
rim,aim,Character Replaced: r
aimm,aimmo,Character Removed: 4 ('o')
ammo,aimmo,Character Removed: 1 ('i')
pika,aio-pika,Separated Section Removed: 0 ('a')
aioaprs,aioapns,Ascii Homoglpyh: n => r;Character Replaced: r
aio-botocore,aiobotocore,Character Added: -
aiocached,aiocache,Character Added: d;Close Letters on QWERTY Keyboard, added to end: aiocache => d
aiocacher,aiocache,Character Added: r;Close Letters on QWERTY Keyboard, added to end: aiocache => r
aiomcache,aiocache,Character Added: m
aiocometd-ng,aiocometd,Suffix Added: -ng
aiconsole,aioconsole,Character Removed: 2 ('o')
aiorcon,aiocron,Letters Swapped
aiocvv,aiocsv,Character Replaced: v
aiocv,aiocsv,Character Removed: 4 ('s')
iocsv,aiocsv,Character Removed: 0 ('a')
aiocse,aiocsv,Character Replaced: e
aiodataloader-ng,aiodataloader,Suffix Added: -ng
aidebug,aiodebug,Character Removed: 2 ('o')
aiodockerpy,aiodocker,Suffix Added: py
aifile,aiofile,Character Removed: 2 ('o')
giofile,aiofile,Character Replaced: g
biofile,aiofile,Bit Flips: Byte 0, Bit 1;Character Replaced: b
aiofiles,aiofile,Character Added: s;Close Letters on QWERTY Keyboard, added to end: aiofile => s;Suffix Added: s
aiofile,aiofiles,Character Removed: 7 ('s');Suffix Removed: s
aiootp,aioftp,Letter Duplicated and Replaced: o;Character Replaced: o
aiostp,aioftp,Character Replaced: s
aiosftp,aioftp,Character Added: s
biogram,aiogram,Bit Flips: Byte 0, Bit 1;Character Replaced: b
aiodgram,aiogram,Character Added: d
aiogram2,aiogram,Character Added: 2;Suffix Added: 2
airgram,aiogram,Character Replaced: r
apiogram,aiogram,Character Added: p
aiohttp,aiohttp-cors,Separated Section Removed: 1 ('i')
cors,aiohttp-cors,Separated Section Removed: 0 ('a')
jinja2,aiohttp-jinja2,Separated Section Removed: 0 ('a')
aiohttp,aiohttp-jinja2,Separated Section Removed: 1 ('i')
aiohttp,aiohttp-middlewares,Separated Section Removed: 1 ('i')
aiohttp,aiohttp-retry,Separated Section Removed: 1 ('i')
retry,aiohttp-retry,Separated Section Removed: 0 ('a')
aiohttp,aiohttp-session,Separated Section Removed: 1 ('i')
aiohttp,aiohttp-socks,Separated Section Removed: 1 ('i')
socks,aiohttp-socks,Separated Section Removed: 0 ('a')
aiohttp-socksx,aiohttp-socks,Character Added: x;Close Letters on QWERTY Keyboard, added to end: aiohttp-socks => x;Suffix Added: x
aiohttp-sse-client2,aiohttp-sse-client,Character Added: 2;Suffix Added: 2
aiohttp-sse,aiohttp-sse-client,Separated Section Removed: 2 ('o')
aiohttpclient,aiohttp-sse-client,Separated Section Removed: 1 ('i')
zlib-ng,aiohttp-zlib-ng,Separated Section Removed: 0 ('a')
aiohttpx,aiohttp,Character Added: x;Suffix Added: x
aihttp,aiohttp,Character Removed: 2 ('o')
aio.http,aiohttp,Character Added: .
aioice2,aioice,Character Added: 2;Close Letters on QWERTY Keyboard, added to end: aioice => 2;Suffix Added: 2
atomcache,aiomcache,Character Replaced: t
aiocache,aiomcache,Character Removed: 3 ('m')
aiomoe,aiomoex,Character Removed: 6 ('x');Suffix Removed: x
aiomox,aiomoex,Character Removed: 5 ('e')
aio-mqtt,aiomqtt,Character Added: -
aiooss,aiooss2,Character Removed: 6 ('2');Suffix Removed: 2
aioqui,aiooui,Character Replaced: q
airpg,aiopg,Character Replaced: r
aiopgx,aiopg,Character Added: x;Suffix Added: x
aiotg,aiopg,Character Replaced: t
aiop,aiopg,Character Removed: 4 ('g')
aiopy,aiopg,Character Replaced: y;Close Letters on QWERTY Keyboard: g => y
aiopm,aiopg,Character Replaced: m
aiopb,aiopg,Character Replaced: b;Close Letters on QWERTY Keyboard: g => b
aiop4,aiopg,Character Replaced: 4
riopg,aiopg,Character Replaced: r
aiops,aiopg,Character Replaced: s
aiopo,aiopg,Character Replaced: o
aioqui,aioquic,Character Removed: 6 ('c')
aioredis3,aioredis,Character Added: 3;Suffix Added: 3
aioredlock-py,aioredlock,Suffix Added: -py
bioregistry,aioregistry,Bit Flips: Byte 0, Bit 1;Character Replaced: b
aiorentry,aioretry,Character Added: n
kaioretry,aioretry,Character Added: k
aioreq,aiormq,Character Replaced: e
aiozmq,aiormq,Character Replaced: z
aiorq,aiormq,Character Removed: 4 ('m')
aiorsmq,aiormq,Character Added: s
aiomq,aiormq,Character Removed: 3 ('r')
aiorm,aiormq,Character Removed: 5 ('q')
aiortm,aiortc,Character Replaced: m
aiortc2,aiortc,Character Added: 2;Suffix Added: 2
aiorpc,aiortc,Character Replaced: p
aorun,aiorun,Character Removed: 1 ('i')
aioruz,aiorun,Character Replaced: z
aimrun,aiorun,Character Replaced: m
airrun,aiorun,Character Replaced: r
ai-signal,aiosignal,Character Replaced: -
aiosignald,aiosignal,Character Added: d
biosignal,aiosignal,Bit Flips: Byte 0, Bit 1;Character Replaced: b
aiosmpplib,aiosmtplib,Character Replaced: p
aiosqs,aiosql,Character Replaced: s
anosql,aiosql,Character Replaced: n
aiomql,aiosql,Character Replaced: m
aiogql,aiosql,Character Replaced: g
aiosqlite3,aiosqlite,Character Added: 3;Close Letters on QWERTY Keyboard, added to end: aiosqlite => 3;Suffix Added: 3
aisqlite,aiosqlite,Character Removed: 2 ('o')
iostream,aiostream,Character Removed: 0 ('a')
aiosteam,aiostream,Character Removed: 5 ('r')
aio.stream,aiostream,Character Added: .
ciostream,aiostream,Character Replaced: c
context,aiotask-context,Separated Section Removed: 0 ('a')
aiatools,aiotools,Ascii Homoglpyh: o => a;Character Replaced: a;Swap Vowel: o => a
ai-tools,aiotools,Character Replaced: -
biotools,aiotools,Bit Flips: Byte 0, Bit 1;Character Replaced: b
aitools,aiotools,Character Removed: 2 ('o')
airtools,aiotools,Character Replaced: r
aotools,aiotools,Character Removed: 1 ('i')
aiotoolz,aiotools,Character Replaced: z;Close Letters on QWERTY Keyboard: s => z
iotools,aiotools,Character Removed: 0 ('a')
miotools,aiotools,Character Replaced: m
api,airbyte-api,Separated Section Removed: 0 ('a')
airbyte,airbyte-api,Separated Section Removed: 1 ('i')
cdk,airbyte-cdk,Separated Section Removed: 0 ('a')
airbyte,airbyte-cdk,Separated Section Removed: 1 ('i')
airbyte-protocol-models,airbyte-protocol-models-dataclasses,Separated Section Removed: 3 ('b')
airbyte-protocol-models,airbyte-protocol-models-pdv2,Separated Section Removed: 3 ('b')
source-salesforce,airbyte-source-salesforce,Separated Section Removed: 0 ('a')
airflow-dbt,airflow-dbt-python,Separated Section Removed: 2 ('r');Suffix Removed: -python
dbt-python,airflow-dbt-python,Separated Section Removed: 0 ('a')
airflow-dbt-python,airflow-dbt,Suffix Added: -python
dbt,airflow-dbt,Separated Section Removed: 0 ('a')
airflow,airflow-dbt,Separated Section Removed: 1 ('i')
exporter,airflow-exporter,Separated Section Removed: 0 ('a')
airflow,airflow-exporter,Separated Section Removed: 1 ('i')
mcd,airflow-mcd,Separated Section Removed: 0 ('a')
airflow,airflow-mcd,Separated Section Removed: 1 ('i')
airflow-provider-fivetran,airflow-provider-fivetran-async,Separated Section Removed: 3 ('f')
python-wrapper,airtable-python-wrapper,Separated Section Removed: 0 ('a')
airtable-python,airtable-python-wrapper,Separated Section Removed: 2 ('r')
airtable-python,airtable,Suffix Added: -python
dom,ais-dom,Separated Section Removed: 0 ('a')
client,aiven-client,Separated Section Removed: 0 ('a')
xjsonrpc,ajsonrpc,Character Replaced: x;Close Letters on QWERTY Keyboard: a => x
jsonrpc,ajsonrpc,Character Removed: 0 ('a')
bjsonrpc,ajsonrpc,Bit Flips: Byte 0, Bit 1;Character Replaced: b
keyless,akeyless,Character Removed: 0 ('a')
akshara,akshare,Ascii Homoglpyh: e => a;Character Replaced: a;Swap Vowel: e => a
yalabaster,alabaster,Character Added: y
alabester,alabaster,Ascii Homoglpyh: a => e;Character Replaced: e;Swap Vowel: a => e
allabaster,alabaster,Character Added: l;Character Added: l;Containing Character Added: l;Containing Character Added: l;Letter Duplicated: l
mock,alchemy-mock,Separated Section Removed: 0 ('a')
alchemy,alchemy-mock,Separated Section Removed: 1 ('l')
amle-py,ale-py,Character Added: m
ale-uy,ale-py,Character Replaced: u
alex-py,ale-py,Character Added: x
ole-py,ale-py,Ascii Homoglpyh: a => o;Character Replaced: o;Swap Vowel: a => o
py,ale-py,Separated Section Removed: 0 ('a')
utils,alembic-utils,Separated Section Removed: 0 ('a')
alembic,alembic-utils,Separated Section Removed: 1 ('l')
alembicz,alembic,Character Added: z
alephclient,aleph-alpha-client,Separated Section Removed: 1 ('l')
alex-py,alexapy,Character Replaced: -
utils,algokit-utils,Separated Section Removed: 0 ('a')
algokit,algokit-utils,Separated Section Removed: 1 ('l')
credentials,alibabacloud-credentials,Separated Section Removed: 0 ('a')
dingtalk,alibabacloud-dingtalk,Separated Section Removed: 0 ('a')
alibabacloud-tea,alibabacloud-tea-openapi,Separated Section Removed: 2 ('i')
alibabacloud-tea,alibabacloud-tea-util,Separated Section Removed: 2 ('i')
alibabacloud-tea,alibabacloud-tea-xml,Separated Section Removed: 2 ('i')
tea,alibabacloud-tea,Separated Section Removed: 0 ('a')
